Vernaculaire,Scientifique,Coches
Canard colvert,Anas platyrhynchos,1297
Héron cendré,Ardea cinerea,1290
Buse variable,Buteo buteo,1282
Faucon crécerelle,Falco tinnunculus,1274
Grand Cormoran,Phalacrocorax carbo,1269
Mésange charbonnière,Parus major,1268
Merle noir,Turdus merula,1267
Moineau domestique,Passer domesticus,1267
Pigeon ramier,Columba palumbus,1267
Cygne tuberculé,Cygnus olor (féral en Fr),1265
Mésange bleue,Parus caeruleus,1264
Rougegorge familier,Erithacus rubecula,1264
Pie bavarde,Pica pica,1257
Etourneau sansonnet,Sturnus vulgaris,1256
Pinson des arbres,Fringilla coelebs,1253
Tourterelle turque,Streptopelia decaocto,1252
Foulque macroule,Fulica atra,1251
Bergeronnette grise,Motacilla alba,1250
Mouette rieuse,Chroicocephalus ridibundus,1248
Corneille noire,Corvus corone,1247
Grèbe huppé,Podiceps cristatus,1243
Aigrette garzette,Egretta garzetta,1241
Chardonneret élégant,Carduelis carduelis,1239
Pic vert,Picus viridis,1234
Rougequeue noir,Phoenicurus ochruros,1231
Grande Aigrette,Ardea alba,1227
Martin-pêcheur d'Europe,Alcedo atthis,1225
Hirondelle rustique,Hirundo rustica,1222
Cigogne blanche,Ciconia ciconia,1221
Pic épeiche,Dendrocopos major,1219
Gallinule poule-d'eau,Gallinula chloropus,1214
Geai des chênes,Garrulus glandarius,1214
Mésange à longue queue,Aegithalos caudatus,1212
Faisan de Colchide,Phasianus colchicus (féral),1209
Bergeronnette des ruisseaux,Motacilla cinerea,1196
Milan noir,Milvus migrans,1195
Choucas des tours,Coloeus monedula,1194
Hirondelle de fenêtre,Delichon urbicum,1193
Fauvette à tête noire,Sylvia atricapilla,1192
Pouillot véloce,Phylloscopus collybita,1190
Sittelle torchepot,Sitta europaea,1190
Vanneau huppé,Vanellus vanellus,1189
Verdier d'Europe,Chloris chloris,1188
Grive musicienne,Turdus philomelos,1188
Troglodyte mignon,Troglodytes troglodytes,1187
Martinet noir,Apus apus,1187
Héron garde-bœufs,Bubulcus ibis,1178
Tadorne de Belon,Tadorna tadorna,1177
Grèbe castagneux,Tachybaptus ruficollis,1170
Sarcelle d'hiver,Anas crecca,1169
Tarier pâtre,Saxicola rubicola,1165
Milan royal,Milvus milvus,1162
Canard souchet,Spatula clypeata,1161
Epervier d'Europe,Accipiter nisus,1160
Grimpereau des jardins,Certhia brachydactyla,1145
Accenteur mouchet,Prunella modularis,1141
Roitelet à triple bandeau,Regulus ignicapilla,1130
Pigeon biset (domestique y compris),Columba livia,1130
Corbeau freux,Corvus frugilegus,1127
Busard des roseaux,Circus aeruginosus,1126
Fuligule milouin,Aythya ferina,1125
Mésange huppée,Parus cristatus,1120
Fuligule morillon,Aythya fuligula,1120
Alouette des champs,Alauda arvensis,1115
Goéland leucophée,Larus michahellis,1111
Avocette élégante,Recurvirostra avosetta,1107
Oie cendrée,Anser anser,1107
Huppe fasciée,Upupa epops,1105
Coucou gris,Cuculus canorus,1104
Mésange nonnette,Parus palustris,1103
Roitelet huppé,Regulus regulus,1103
Linotte mélodieuse,Linaria cannabina,1100
Courlis cendré,Numenius arquata,1098
Serin cini,Serinus serinus,1095
Mésange noire,Parus ater,1093
Échasse blanche,Himantopus himantopus,1093
Sterne pierregarin,Sterna hirundo,1090
Grive draine,Turdus viscivorus,1087
Chevalier guignette,Actitis hypoleucos,1085
Chevalier gambette,Tringa totanus,1083
Grand Corbeau,Corvus corax,1080
Bergeronnette printanière,Motacilla flava,1080
Bécassine des marais,Gallinago gallinago,1079
Canard chipeau,Mareca strepera,1079
Busard Saint-Martin,Circus cyaneus,1078
Goéland argenté,Larus argentatus,1078
Traquet motteux,Oenanthe oenanthe,1077
Hirondelle de rivage,Riparia riparia,1077
Spatule blanche,Platalea leucorodia,1075
Canard pilet,Anas acuta,1075
Grue cendrée,Grus grus,1075
Faucon pèlerin,Falco peregrinus,1074
Tourterelle des bois,Streptopelia turtur,1072
Huîtrier pie,Haematopus ostralegus,1069
Grand Gravelot,Charadrius hiaticula,1068
Bruant zizi,Emberiza cirlus,1066
Bruant des roseaux,Emberiza schoeniclus,1066
Tarin des aulnes,Spinus spinus,1064
Canard siffleur,Mareca penelope,1064
Pie-grièche écorcheur,Lanius collurio,1062
Vautour fauve,Gyps fulvus,1062
Chevalier culblanc,Tringa ochropus,1062
Pipit farlouse,Anthus pratensis,1061
Perdrix rouge,Alectoris rufa,1057
Bruant jaune,Emberiza citrinella,1057
Bouvreuil pivoine,Pyrrhula pyrrhula,1052
Rougequeue à front blanc,Phoenicurus phoenicurus,1049
Bécasseau variable,Calidris alpina,1043
Petit Gravelot,Charadrius dubius,1036
Goéland marin,Larus marinus,1034
Héron pourpré,Ardea purpurea,1034
Mouette mélanocéphale,Ichthyaetus melanocephalus,1034
Bondrée apivore,Pernis apivorus,1032
Fou de Bassan,Morus bassanus,1029
Flamant rose,Phoenicopterus roseus,1028
Tournepierre à collier,Arenaria interpres,1027
Chouette hulotte,Strix aluco,1027
Guêpier d'Europe,Merops apiaster,1024
Pic noir,Dryocopus martius,1021
Balbuzard pêcheur,Pandion haliaetus,1021
Goéland brun,Larus fuscus ,1020
Bihoreau gris,Nycticorax nycticorax,1020
Circaète Jean-le-Blanc,Circaetus gallicus,1017
Rossignol philomèle,Luscinia megarhynchos,1015
Râle d'eau,Rallus aquaticus,1011
Bouscarle de Cetti,Cettia cetti,1010
Faucon hobereau,Falco subbuteo,1008
Tarier des prés,Saxicola rubetra,1007
Grive mauvis,Turdus iliacus,1005
Cincle plongeur,Cinclus cinclus,1005
Grive litorne,Turdus pilaris,1004
Nette rousse,Netta rufina,1004
Gobemouche gris,Muscicapa striata,1002
Loriot d'Europe,Oriolus oriolus,1002
Sterne caugek,Thalasseus sandvicensis,1000
Grèbe à cou noir,Podiceps nigricollis,999
Effraie des clochers,Tyto alba,994
Pinson du Nord,Fringilla montifringilla,994
Fauvette grisette,Curruca communis,993
Perdrix grise,Perdix perdix,992
Chevalier aboyeur,Tringa nebularia,989
Bernache du Canada,Branta canadensis (féral en Fr),987
Rousserolle effarvatte,Acrocephalus scirpaceus,987
Hypolaïs polyglotte,Hippolais polyglotta,984
Grosbec casse-noyaux,Coccothraustes coccothraustes,982
Hirondelle de rochers,Ptyonoprogne rupestris,977
Bécasseau sanderling,Calidris alba,976
Cisticole des joncs,Cisticola juncidis,975
Chevêche d'Athéna,Athene noctua,974
Pouillot fitis,Phylloscopus trochilus,970
Moineau friquet,Passer montanus,969
Pluvier argenté,Pluvialis squatarola,969
Sarcelle d'été,Spatula querquedula,968
Barge à queue noire,Limosa limosa,966
Pic épeichette,Dryobates minor,963
Gobemouche noir,Ficedula hypoleuca,961
Goéland cendré,Larus canus,959
Bruant proyer,Emberiza calandra,951
Pluvier doré,Pluvialis apricaria,947
Cormoran huppé,Phalacrocorax aristotelis,942
Gravelot à collier interrompu,Charadrius alexandrinus,941
Pigeon colombin,Columba oenas,940
Pipit des arbres,Anthus trivialis,940
Busard cendré,Circus pygargus,933
Fauvette des jardins,Sylvia borin,932
Courlis corlieu,Numenius phaeopus,931
Pipit spioncelle,Anthus spinoletta,928
Alouette lulu,Lullula arborea,926
Bernache cravant,Branta bernicla,923
Cigogne noire,Ciconia nigra,920
Harle bièvre,Mergus merganser,920
Aigle royal,Aquila chrysaetos,917
Perruche à collier,Psittacula krameri (féral),917
Chevalier arlequin,Tringa erythropus,916
Chocard à bec jaune,Pyrrhocorax graculus,913
Hibou moyen-duc,Asio otus,909
Ibis falcinelle,Plegadis falcinellus,908
Barge rousse,Limosa lapponica,895
Chevalier sylvain,Tringa glareola,895
Combattant varié,Calidris pugnax,891
Oedicnème criard,Burhinus oedicnemus,887
Crave à bec rouge,Pyrrhocorax pyrrhocorax,880
Bec-croisé des sapins,Loxia curvirostra,879
Martinet à ventre blanc,Tachymarptis melba,874
Gorgebleue à miroir,Luscinia svecica,874
Phragmite des joncs,Acrocephalus schoenobaenus,870
Sterne naine,Sternula albifrons,869
Garrot à œil d'or,Bucephala clangula,863
Bécasseau minute,Calidris minuta,853
Autour des palombes,Accipiter gentilis,852
Pipit maritime,Anthus petrosus,852
Cochevis huppé,Galerida cristata,846
Pic mar,Dendrocopos medius,845
Engoulevent d'Europe,Caprimulgus europaeus,845
Guifette moustac,Chlidonias hybrida,843
Tichodrome échelette,Tichodroma muraria,836
Guifette noire,Chlidonias niger,835
Fauvette mélanocéphale,Curruca melanocephala,833
Fauvette pitchou,Curruca undata,831
Harle huppé,Mergus serrator,826
Caille des blés,Coturnix coturnix,826
Merle à plastron,Turdus torquatus,823
Ouette d'Egypte,Alopochen aegyptiaca (féral en Fr),822
Bécasseau maubèche,Calidris canutus,815
Faucon émerillon,Falco columbarius,813
Hibou des marais,Asio flammeus,807
Grimpereau des bois,Certhia familiaris,802
Torcol fourmilier,Jynx torquilla,799
Rollier d'Europe,Coracias garrulus,796
Crabier chevelu,Ardeola ralloides,785
Macreuse noire,Melanitta nigra,784
Bécasse des bois,Scolopax rusticola,783
Mouette tridactyle,Rissa tridactyla,783
Pingouin torda,Alca torda,777
Elanion blanc,Elanus caeruleus,776
Bécasseau cocorli,Calidris ferruginea,770
Plongeon imbrin,Gavia immer,766
Guillemot de Troïl,Uria aalge,764
Fuligule milouinan,Aythya marila,763
Rousserolle turdoïde,Acrocephalus arundinaceus,758
Mouette pygmée,Hydrocoloeus minutus,758
Accenteur alpin,Prunella collaris,756
Aigle botté,Hieraaetus pennata,756
Butor étoilé,Botaurus stellaris,751
Pipit rousseline,Anthus campestris,745
Pouillot de Bonelli,Phylloscopus bonelli,744
Blongios nain,Ixobrychus minutus,743
Ibis sacré,Threskiornis aethiopicus (féral),741
Pie-grièche à tête rousse,Lanius senator,739
Grand-duc d'Europe,Bubo bubo,739
Oie rieuse,Anser albifrons,736
Outarde canepetière,Tetrax tetrax,730
Mésange boréale,Parus montanus,730
Pouillot siffleur,Phylloscopus sibilatrix,725
Macreuse brune,Melanitta fusca,723
Fuligule nyroca,Aythya nyroca,718
Plongeon catmarin,Gavia stellata,717
Cassenoix moucheté,Nucifraga caryocatactes,715
Vautour percnoptère,Neophron percnopterus,712
Panure à moustaches,Panurus biarmicus,711
Cygne chanteur,Cygnus cygnus,710
Fulmar boréal,Fulmarus glacialis,709
Eider à duvet,Somateria mollissima,709
Pie-grièche grise,Lanius excubitor,708
Bruant fou,Emberiza cia,708
Locustelle tachetée,Locustella naevia,702
Grèbe esclavon,Podiceps auritus,699
Bécasseau violet,Calidris maritima,698
Goéland railleur,Chroicocephalus genei,698
Fauvette babillarde,Curruca curruca,692
Petit-duc scops,Otus scops,690
Rémiz penduline,Remiz pendulinus,688
Sterne caspienne,Hydroprogne caspia,681
Vautour moine,Aegypius monachus,681
