ID_ODF,MAILLE,ID_FAUNE_FRANCE
42510,E009N684,1
42557,E010N684,2
42558,E010N685,3
42599,E011N679,4
42600,E011N680,5
42603,E011N683,6
42604,E011N684,7
42647,E012N679,8
42648,E012N680,9
42651,E012N683,10
42652,E012N684,11
42653,E012N685,12
42950,E013N679,13
42951,E013N680,14
42952,E013N681,15
42953,E013N682,16
42954,E013N683,17
42955,E013N684,18
42956,E013N685,19
42957,E013N686,20
42997,E014N676,21
42998,E014N677,22
42999,E014N678,23
43000,E014N679,24
43001,E014N680,25
43002,E014N681,26
43003,E014N682,27
43004,E014N683,28
43005,E014N684,29
43006,E014N685,30
43007,E014N686,31
43047,E015N676,32
43048,E015N677,33
43049,E015N678,34
43050,E015N679,35
43051,E015N680,36
43052,E015N681,37
43053,E015N682,38
43054,E015N683,39
43055,E015N684,40
43056,E015N685,41
43057,E015N686,42
43098,E016N676,43
43099,E016N677,44
43100,E016N678,45
43101,E016N679,46
43102,E016N680,47
43103,E016N681,48
43104,E016N682,49
43105,E016N683,50
43106,E016N684,51
43107,E016N685,52
43108,E016N686,53
43149,E017N675,54
43150,E017N676,55
43151,E017N677,56
43152,E017N678,57
43153,E017N679,58
43154,E017N680,59
43155,E017N681,60
43156,E017N682,61
43157,E017N683,62
43158,E017N684,63
43159,E017N685,64
43160,E017N686,65
43202,E018N676,66
43203,E018N677,67
43204,E018N678,68
43205,E018N679,69
43206,E018N680,70
43207,E018N681,71
43208,E018N682,72
43209,E018N683,73
43210,E018N684,74
43211,E018N685,75
43212,E018N686,76
43213,E018N687,77
43254,E019N676,78
43255,E019N677,79
43256,E019N678,80
43257,E019N679,81
43258,E019N680,82
43259,E019N681,83
43260,E019N682,84
43261,E019N683,85
43262,E019N684,86
43263,E019N685,87
43264,E019N686,88
43307,E020N676,89
43308,E020N677,90
43309,E020N678,91
43310,E020N679,92
43311,E020N680,93
43312,E020N681,94
43313,E020N682,95
43314,E020N683,96
43315,E020N684,97
42682,E020N685,98
42683,E020N686,99
43321,E021N674,100
43322,E021N675,101
43323,E021N676,102
43324,E021N677,103
43325,E021N678,104
43326,E021N679,105
43327,E021N680,106
43328,E021N681,107
43329,E021N682,108
43330,E021N683,109
43331,E021N684,110
43332,E021N685,111
43333,E021N686,112
43334,E021N687,113
43372,E022N670,114
43373,E022N671,115
43376,E022N674,116
43377,E022N675,117
43378,E022N676,118
43379,E022N677,119
43380,E022N678,120
43381,E022N679,121
43382,E022N680,122
43383,E022N681,123
43384,E022N682,124
43385,E022N683,125
43386,E022N684,126
43387,E022N685,127
43388,E022N686,128
43389,E022N687,129
43390,E022N688,130
43429,E023N670,131
43430,E023N671,132
43431,E023N672,133
43432,E023N673,134
43433,E023N674,135
43434,E023N675,136
43435,E023N676,137
43436,E023N677,138
43437,E023N678,139
43438,E023N679,140
43439,E023N680,141
43440,E023N681,142
43441,E023N682,143
43442,E023N683,144
43443,E023N684,145
43444,E023N685,146
43445,E023N686,147
43446,E023N687,148
43488,E024N670,149
43489,E024N671,150
43490,E024N672,151
43491,E024N673,152
43492,E024N674,153
43493,E024N675,154
43494,E024N676,155
43495,E024N677,156
43496,E024N678,157
43497,E024N679,158
43498,E024N680,159
43499,E024N681,160
43500,E024N682,161
43501,E024N683,162
43502,E024N684,163
43503,E024N685,164
43504,E024N686,165
43505,E024N687,166
43506,E024N688,167
43549,E025N670,168
43550,E025N671,169
43551,E025N672,170
43552,E025N673,171
43553,E025N674,172
43554,E025N675,173
43555,E025N676,174
43556,E025N677,175
43557,E025N678,176
43558,E025N679,177
43559,E025N680,178
43560,E025N681,179
43561,E025N682,180
43562,E025N683,181
43563,E025N684,182
43564,E025N685,183
43565,E025N686,184
43566,E025N687,185
43567,E025N688,186
43614,E026N672,187
43615,E026N673,188
43616,E026N674,189
43617,E026N675,190
43618,E026N676,191
43619,E026N677,192
43620,E026N678,193
43621,E026N679,194
43622,E026N680,195
43623,E026N681,196
43624,E026N682,197
43625,E026N683,198
43626,E026N684,199
43627,E026N685,200
43628,E026N686,201
43629,E026N687,202
43678,E027N671,203
43679,E027N672,204
43680,E027N673,205
43681,E027N674,206
43682,E027N675,207
43683,E027N676,208
43684,E027N677,209
43685,E027N678,210
43686,E027N679,211
43687,E027N680,212
43688,E027N681,213
43689,E027N682,214
43690,E027N683,215
43691,E027N684,216
43692,E027N685,217
43737,E028N663,218
43743,E028N669,219
43744,E028N670,220
43745,E028N671,221
43746,E028N672,222
43747,E028N673,223
43748,E028N674,224
43749,E028N675,225
43750,E028N676,226
43751,E028N677,227
43752,E028N678,228
43753,E028N679,229
43754,E028N680,230
43755,E028N681,231
43756,E028N682,232
43757,E028N683,233
43758,E028N684,234
43805,E029N663,235
43808,E029N666,236
43809,E029N667,237
43811,E029N669,238
43812,E029N670,239
43813,E029N671,240
43814,E029N672,241
43815,E029N673,242
43816,E029N674,243
43817,E029N675,244
43818,E029N676,245
43819,E029N677,246
43820,E029N678,247
43821,E029N679,248
43822,E029N680,249
43823,E029N681,250
43824,E029N682,251
43825,E029N683,252
43826,E029N684,253
43827,E029N685,254
43873,E030N664,255
43874,E030N665,256
43875,E030N666,257
43876,E030N667,258
43877,E030N668,259
43878,E030N669,260
43879,E030N670,261
43880,E030N671,262
43881,E030N672,263
43882,E030N673,264
43883,E030N674,265
43884,E030N675,266
43885,E030N676,267
43886,E030N677,268
43887,E030N678,269
43888,E030N679,270
43889,E030N680,271
43890,E030N681,272
43891,E030N682,273
43892,E030N683,274
43893,E030N684,275
43894,E030N685,276
43900,E031N625,277
43901,E031N626,278
43938,E031N663,279
43939,E031N664,280
43940,E031N665,281
43941,E031N666,282
43942,E031N667,283
43943,E031N668,284
43944,E031N669,285
43945,E031N670,286
43946,E031N671,287
43947,E031N672,288
43948,E031N673,289
43949,E031N674,290
43950,E031N675,291
43951,E031N676,292
43952,E031N677,293
43953,E031N678,294
43954,E031N679,295
43955,E031N680,296
43956,E031N681,297
43957,E031N682,298
43958,E031N683,299
43959,E031N684,300
43960,E031N685,301
43966,E032N624,302
43967,E032N625,303
43968,E032N626,304
43969,E032N627,305
44003,E032N661,306
44004,E032N662,307
44005,E032N663,308
44006,E032N664,309
44007,E032N665,310
44008,E032N666,311
44009,E032N667,312
44010,E032N668,313
44011,E032N669,314
44012,E032N670,315
44013,E032N671,316
44014,E032N672,317
44015,E032N673,318
44016,E032N674,319
44017,E032N675,320
44018,E032N676,321
44019,E032N677,322
44020,E032N678,323
44021,E032N679,324
44022,E032N680,325
44023,E032N681,326
44024,E032N682,327
44025,E032N683,328
44026,E032N684,329
44027,E032N685,330
44035,E033N622,331
44036,E033N623,332
44037,E033N625,333
44038,E033N626,334
44039,E033N627,335
44040,E033N628,336
44041,E033N629,337
44072,E033N660,338
44073,E033N661,339
44074,E033N662,340
44075,E033N663,341
44076,E033N664,342
44077,E033N665,343
44078,E033N666,344
44079,E033N667,345
44080,E033N668,346
44081,E033N669,347
44082,E033N670,348
44083,E033N671,349
44084,E033N672,350
44085,E033N673,351
44086,E033N674,352
44087,E033N675,353
44088,E033N676,354
44089,E033N677,355
44090,E033N678,356
44091,E033N679,357
44092,E033N680,358
44093,E033N681,359
44094,E033N682,360
44095,E033N683,361
44096,E033N684,362
44097,E033N685,363
44111,E034N622,364
44112,E034N623,365
44113,E034N624,366
44114,E034N625,367
44115,E034N626,368
44116,E034N627,369
44117,E034N628,370
44118,E034N629,371
44119,E034N630,372
44120,E034N631,373
44121,E034N632,374
44146,E034N657,375
44147,E034N658,376
44148,E034N659,377
44149,E034N660,378
44150,E034N661,379
44151,E034N662,380
44152,E034N663,381
44153,E034N664,382
44154,E034N665,383
44155,E034N666,384
44156,E034N667,385
44157,E034N668,386
44158,E034N669,387
44159,E034N670,388
44160,E034N671,389
44161,E034N672,390
44162,E034N673,391
44163,E034N674,392
44164,E034N675,393
44165,E034N676,394
44166,E034N677,395
44167,E034N678,396
44168,E034N679,397
44169,E034N680,398
44170,E034N681,399
44171,E034N682,400
44172,E034N683,401
44173,E034N684,402
44174,E034N685,403
44176,E034N687,404
44182,E034N693,405
44183,E034N694,406
44184,E034N695,407
44185,E034N696,408
44191,E035N622,409
44192,E035N623,410
44193,E035N624,411
44194,E035N625,412
44195,E035N626,413
44196,E035N627,414
44197,E035N628,415
44198,E035N629,416
44199,E035N630,417
44200,E035N631,418
44201,E035N632,419
44202,E035N633,420
44203,E035N634,421
44204,E035N635,422
44205,E035N636,423
44206,E035N637,424
44224,E035N655,425
44226,E035N657,426
44227,E035N658,427
44228,E035N659,428
44229,E035N660,429
44230,E035N661,430
44231,E035N662,431
44232,E035N663,432
44233,E035N664,433
44234,E035N665,434
44235,E035N666,435
44236,E035N667,436
44237,E035N668,437
44238,E035N669,438
44239,E035N670,439
44240,E035N671,440
44241,E035N672,441
44242,E035N673,442
44243,E035N674,443
44244,E035N675,444
44245,E035N676,445
44246,E035N677,446
44247,E035N678,447
44248,E035N679,448
44249,E035N680,449
44250,E035N681,450
44251,E035N682,451
44252,E035N683,452
44253,E035N684,453
44256,E035N687,454
44260,E035N691,455
44261,E035N692,456
44262,E035N693,457
44263,E035N694,458
44264,E035N695,459
44265,E035N696,460
44271,E036N621,461
44272,E036N622,462
44273,E036N623,463
44274,E036N624,464
44275,E036N625,465
44276,E036N626,466
44277,E036N627,467
44278,E036N628,468
44279,E036N629,469
44280,E036N630,470
44281,E036N631,471
44282,E036N632,472
44283,E036N633,473
44284,E036N634,474
44285,E036N635,475
44286,E036N636,476
44287,E036N637,477
44288,E036N638,478
44289,E036N639,479
44290,E036N640,480
44291,E036N641,481
44292,E036N642,482
44293,E036N643,483
44294,E036N644,484
44303,E036N653,485
44304,E036N654,486
44305,E036N655,487
44306,E036N656,488
44307,E036N657,489
44308,E036N658,490
44309,E036N659,491
44310,E036N660,492
44311,E036N661,493
44312,E036N662,494
44313,E036N663,495
44314,E036N664,496
44315,E036N665,497
44316,E036N666,498
44317,E036N667,499
44318,E036N668,500
44319,E036N669,501
44320,E036N670,502
44321,E036N671,503
44322,E036N672,504
44323,E036N673,505
44324,E036N674,506
44325,E036N675,507
44326,E036N676,508
44327,E036N677,509
44328,E036N678,510
44329,E036N679,511
44330,E036N680,512
44331,E036N681,513
44332,E036N682,514
44333,E036N683,515
44334,E036N684,516
44335,E036N685,517
44336,E036N686,518
44337,E036N687,519
44338,E036N688,520
44339,E036N689,521
44340,E036N690,522
44341,E036N691,523
44342,E036N692,524
44343,E036N693,525
44344,E036N694,526
44345,E036N695,527
44346,E036N696,528
44352,E037N621,529
44353,E037N622,530
44354,E037N623,531
44355,E037N624,532
44356,E037N625,533
44357,E037N626,534
44358,E037N627,535
44359,E037N628,536
44360,E037N629,537
44361,E037N630,538
44362,E037N631,539
44363,E037N632,540
44364,E037N633,541
44365,E037N634,542
44366,E037N635,543
44367,E037N636,544
44368,E037N637,545
44369,E037N638,546
44370,E037N639,547
44371,E037N640,548
44372,E037N641,549
44373,E037N642,550
44374,E037N643,551
44375,E037N644,552
44376,E037N645,553
44377,E037N646,554
44378,E037N647,555
44379,E037N648,556
44380,E037N649,557
44381,E037N650,558
44382,E037N651,559
44383,E037N652,560
44384,E037N653,561
44385,E037N654,562
44386,E037N655,563
44387,E037N656,564
44388,E037N657,565
44389,E037N658,566
44390,E037N659,567
44391,E037N660,568
44392,E037N661,569
44393,E037N662,570
44394,E037N663,571
44395,E037N664,572
44396,E037N665,573
44397,E037N666,574
44398,E037N667,575
44399,E037N668,576
44400,E037N669,577
44401,E037N670,578
44402,E037N671,579
44403,E037N672,580
44404,E037N673,581
44405,E037N674,582
44406,E037N675,583
44407,E037N676,584
44408,E037N677,585
44409,E037N678,586
44410,E037N679,587
44411,E037N680,588
44412,E037N681,589
44413,E037N682,590
44414,E037N683,591
44415,E037N684,592
44416,E037N685,593
44417,E037N686,594
44418,E037N687,595
44419,E037N688,596
44420,E037N689,597
44421,E037N690,598
44422,E037N691,599
44423,E037N692,600
44424,E037N693,601
44425,E037N694,602
44426,E037N695,603
44427,E037N696,604
44433,E038N621,605
44434,E038N622,606
44435,E038N623,607
44436,E038N624,608
44437,E038N625,609
44438,E038N626,610
44439,E038N627,611
44440,E038N628,612
44441,E038N629,613
44442,E038N630,614
44443,E038N631,615
44444,E038N632,616
44445,E038N633,617
44446,E038N634,618
44447,E038N635,619
44448,E038N636,620
44449,E038N637,621
