frname,lastobs,newcount,oldcount
Autour des palombes,2018,0,1
Bec-croisé des sapins,2018,0,1
Bruant ortolan,2016,0,1
Caille des blés,2009,0,1
Canard mandarin,2019,0,4
Cigogne noire,2016,0,1
Faisan vénéré,2018,0,1
Garrot à oeil d'or,2019,0,4
Goéland brun,2015,0,3
Grand-duc d'Europe,2018,0,1
Grive litorne,2015,0,1
Grosbec casse-noyaux,2018,0,3
Harelde boréale,2009,0,1
Hirondelle de rochers,2016,0,1
Macreuse brune,2014,0,4
Martinet à ventre blanc,2017,0,1
Moineau soulcie,2017,0,3
Mouette pygmée,2018,0,2
Petit-duc scops,2009,0,1
Pigeon biset (origine naturelle),2009,0,1
Pipit à gorge rousse,2016,0,1
Pipit rousseline,2017,0,2
Pipit spioncelle,2017,0,3
Pouillot fitis,2015,0,3
Rougequeue à front blanc,2015,0,2
Sarcelle d'été,2015,0,2
Tarier des prés,2009,0,1
