"newcount";"frname"
"[32";"1m[0m"
"[32";"1m-------- ------[0m"
"0";"Aigle botté"
"0";"Aigrette garzette"
"0";"Alouette calandrelle"
"0";"Autour des palombes"
"0";"Bécasseau variable"
"0";"Bécasse des bois"
"0";"Bergeronnette des ruisseaux"
"0";"Bergeronnette printanière"
"0";"Bouvreuil pivoine"
"0";"Bruant des roseaux"
"0";"Bruant fou"
"0";"Bruant jaune"
"0";"Bruant proyer"
"0";"Busard cendré"
"0";"Busard des roseaux"
"0";"Calopsitte élégante"
"0";"Chevalier culblanc"
"0";"Chevalier sylvain"
"0";"Chouette hulotte"
"0";"Courlis cendré"
"0";"Crabier chevelu"
"0";"Échasse blanche"
"0";"Engoulevent d'Europe"
"0";"Épervier d'Europe"
"0";"Faucon émerillon"
"0";"Faucon pèlerin"
"0";"Grèbe huppé"
"0";"Grive mauvis"
"0";"Grosbec casse-noyaux"
"0";"Héron pourpré"
"0";"Hibou moyen-duc"
"0";"Hirondelle de fenêtre"
"0";"Hirondelle de rivage"
"0";"Locustelle tachetée"
"0";"Loriot d'Europe"
"0";"Merle à plastron"
"0";"Mésange bleue"
"0";"Mésange noire"
"0";"Moineau friquet"
"0";"Mouette rieuse"
"0";"Oie cendrée"
"0";"Perdrix rouge"
"0";"Perruche ondulée"
"0";"Petit Gravelot"
"0";"Phragmite des joncs"
"0";"Pic épeichette"
"0";"Pigeon colombin"
"0";"Pinson du Nord"
"0";"Pipit spioncelle"
"0";"Roitelet huppé"
"0";"Rollier d'Europe"
"0";"Rousserolle effarvatte"
"0";"Sarcelle d'hiver"
"0";"Sterne caugek"
"0";"Tarier des prés"
