frname,lastobs,newcount,oldcount
Alouette lulu,2009,0,1
Bernache nonnette,2018,0,2
Bruant des roseaux,2018,0,1
Bruant proyer,2009,0,1
Busard Saint-Martin,2019,0,6
Caille des blés,2009,0,1
Cochevis huppé,2009,0,1
Coucou gris,2018,0,5
Engoulevent d'Europe,2009,0,1
Faucon hobereau,2018,0,7
Grosbec casse-noyaux,2018,0,10
Guêpier d'Europe,2015,0,3
Guifette noire,2016,0,1
Harle bièvre,2019,0,3
Héron pourpré,2009,0,1
Hibou moyen-duc,2015,0,2
Moineau soulcie,2009,0,1
Nette rousse,2018,0,2
Perdrix rouge,2009,0,1
Pigeon biset (origine naturelle),2009,0,1
Tadorne de Belon,2018,0,2
Torcol fourmilier,2009,0,1
Tourterelle des bois,2009,0,1
