frname,lastobs,newcount,oldcount
Accenteur mouchet,2023,22,21
Aigrette garzette,2023,5,10
Alouette des champs,2023,61,5
Alouette lulu,2020,1,0
Bécassine des marais,2009,0,1
Bergeronnette des ruisseaux,2023,9,3
Bergeronnette grise,2023,20,9
Bergeronnette printanière,2019,5,1
Bernache du Canada,2022,2,2
Bihoreau gris,2023,3,0
Bondrée apivore,2022,6,2
Bouvreuil pivoine,2022,5,4
Bruant des roseaux,2022,1,1
Bruant jaune,2023,10,3
Bruant proyer,2023,6,0
Bruant zizi,2022,6,5
Busard Saint-Martin,2023,17,2
Buse variable,2023,51,15
Caille des blés,2022,3,1
Canard colvert,2023,30,10
Canard siffleur,2023,2,0
Chardonneret élégant,2023,24,24
Chevalier culblanc,2009,0,1
Chevalier guignette,2022,2,1
Chevêche d'Athéna,2019,2,2
Choucas des tours,2023,16,18
Chouette hulotte,2022,4,3
Cigogne blanche,2022,1,2
Cigogne noire,2020,3,7
Cochevis huppé,2022,3,4
Corbeau freux,2023,31,9
Corneille noire,2023,96,34
Coucou gris,2023,10,2
Cygne tuberculé,2021,1,2
Effraie des clochers,2022,5,3
Élanion blanc,2021,1,0
Épervier d'Europe,2022,6,5
Étourneau sansonnet,2023,57,24
Faisan de Colchide,2023,33,9
Faucon crécerelle,2023,29,12
Faucon hobereau,2017,0,1
Faucon pèlerin,2020,1,0
Fauvette à tête noire,2023,88,19
Fauvette babillarde,2022,1,0
Fauvette des jardins,2023,21,3
Fauvette grisette,2023,33,3
Foulque macroule,2023,13,5
Fuligule milouin,2009,0,1
Fuligule morillon,2022,1,1
Gallinule poule-d'eau,2023,15,7
Geai des chênes,2023,42,14
Gobemouche gris,2019,2,1
Goéland argenté,2022,2,0
Grand Cormoran,2023,11,3
Grande Aigrette,2023,12,2
Grèbe castagneux,2022,8,4
Grèbe huppé,2023,11,5
Grimpereau des jardins,2023,47,7
Grive draine,2023,23,7
Grive litorne,2021,12,3
Grive mauvis,2009,0,1
Grive musicienne,2023,30,11
Grosbec casse-noyaux,2022,2,0
Héron cendré,2023,21,10
Héron garde-boeufs,2023,5,0
Hibou moyen-duc,2019,2,3
Hirondelle de fenêtre,2023,12,5
Hirondelle rustique,2023,23,10
Hypolaïs polyglotte,2023,11,2
Linotte mélodieuse,2023,26,3
Locustelle tachetée,2022,1,2
Loriot d'Europe,2023,11,2
Martinet noir,2023,18,8
Martin-pêcheur d'Europe,2022,12,9
Merle noir,2023,119,45
Mésange à longue queue,2023,16,7
Mésange bleue,2023,87,45
Mésange charbonnière,2023,82,46
Mésange huppée,2023,1,16
Mésange nonnette,2022,10,13
Milan noir,2020,1,0
Milan royal,2022,1,0
Moineau domestique,2023,62,26
Moineau friquet,2019,4,0
Mouette mélanocéphale,2022,1,0
Mouette rieuse,2023,17,5
Oedicnème criard,2022,1,0
Oie cendrée,2022,2,0
Perdrix grise,2022,3,6
Pic épeiche,2023,41,12
Pic épeichette,2019,1,2
Pic mar,2022,4,1
Pic noir,2022,3,2
Pic vert,2023,33,16
Pie bavarde,2023,55,28
Pie-grièche écorcheur,2022,6,0
Pigeon biset domestique,2023,27,3
Pigeon colombin,2022,5,3
Pigeon ramier,2023,105,47
Pinson des arbres,2023,132,44
Pinson du Nord,2020,1,0
Pipit des arbres,2023,6,1
Pipit farlouse,2009,0,1
Pluvier doré,2022,12,3
Pouillot fitis,2009,0,1
Pouillot véloce,2023,64,14
Roitelet à triple bandeau,2022,8,1
Roitelet huppé,2022,13,4
Rossignol philomèle,2023,15,3
Rougegorge familier,2023,109,34
Rougequeue à front blanc,2009,0,1
Rougequeue noir,2023,19,3
Rousserolle effarvatte,2021,1,0
Sarcelle d'hiver,2009,0,1
Serin cini,2022,8,3
Sittelle torchepot,2023,28,23
Tarier pâtre,2022,11,3
Tarin des aulnes,2023,6,3
Tourterelle des bois,2023,12,1
Tourterelle turque,2023,47,28
Troglodyte mignon,2023,64,21
Vanneau huppé,2023,24,7
Verdier d'Europe,2023,23,20
