Accenteur mouchet
Aigle botté
Aigrette garzette
Albatros à sourcils noirs
Alouette calandrelle
Alouette des champs
Alouette lulu
Barge rousse
Bécasseau de Bonaparte
Bécasseau maubèche
Bécasseau sanderling
Bécasseau variable
Bécasseau violet
Bécasse des bois
Bécassine des marais
Bécassine sourde
Bec-croisé des sapins
Bergeronnette des ruisseaux
Bergeronnette grise
Bergeronnette printanière
Bernache cravant
Bernache nonnette
Bondrée apivore
Bouscarle de Cetti
Bouvreuil pivoine
Bruant des neiges
Bruant des roseaux
Bruant lapon
Bruant nain
Bruant proyer
Busard des roseaux
Busard pâle
Busard Saint-Martin
Buse variable
Canard colvert
Canard pilet
Canard siffleur
Chardonneret élégant
Chevalier culblanc
Chevalier gambette
Chevalier guignette
Cisticole des joncs
Cormoran huppé
Corneille mantelée
Corneille noire
Coucou gris
Courlis cendré
Courlis corlieu
Crave à bec rouge
Cygne chanteur
Effraie des clochers
Eider à duvet
Épervier d'Europe
Etourneau roselin
Étourneau sansonnet
Faisan de Colchide
Faucon crécerelle
Faucon émerillon
Faucon pèlerin
Fauvette à tête noire
Fauvette babillarde
Fauvette des jardins
Fauvette grisette
Fauvette pitchou
Fou de Bassan
Fuligule morillon
Fulmar boréal
Gallinule poule-d'eau
Gobemouche gris
Gobemouche nain
Gobemouche noir
Goéland argenté
Goéland brun
Goéland cendré
Goéland leucophée
Goéland marin
Grand Cormoran
Grande Aigrette
Grand Gravelot
Grand Labbe
Grimpereau des jardins
Grive draine
Grive litorne
Grive mauvis
Grive musicienne
Grosbec casse-noyaux
Guifette noire
Guillemot de Troïl
Harelde boréale
Harfang des neiges
Héron cendré
Hibou des marais
Hibou moyen-duc
Hirondelle de fenêtre
Hirondelle de rivage
Hirondelle rustique
Huîtrier pie
Huppe fasciée
Labbe à longue queue
Labbe parasite
Labbe pomarin
Linotte mélodieuse
Locustelle tachetée
Macareux moine
Macreuse noire
Martinet noir
Martin-pêcheur d'Europe
Mergule nain
Merle à plastron
Merle noir
Mésange à longue queue
Mésange bleue
Mésange charbonnière
Milan noir
Milan royal
Moineau domestique
Mouette de Sabine
Mouette mélanocéphale
Mouette pygmée
Mouette rieuse
Mouette tridactyle
Océanite culblanc
Océanite tempête
Perdrix rouge
Phalarope à bec large
Phragmite des joncs
Pigeon biset domestique
Pigeon colombin
Pigeon ramier
Pingouin torda
Pinson des arbres
Pinson du Nord
Pipit à gorge rousse
Pipit de Richard
Pipit des arbres
Pipit farlousane
Pipit farlouse
Pipit maritime
Pipit spioncelle
Plongeon arctique
Plongeon catmarin
Plongeon imbrin
Pluvier argenté
Pluvier doré
Pluvier guignard
Pouillot à grands sourcils
Pouillot fitis
Pouillot véloce
Puffin cendré
Puffin des Anglais
Puffin des Baléares
Puffin fuligineux
Puffin majeur
Râle d'eau
Râle des genêts
Rémiz penduline
Roitelet à triple bandeau
Roitelet huppé
Rougegorge familier
Rougequeue à front blanc
Rougequeue noir
Rousserolle effarvatte
Sarcelle d'hiver
Serin cini
Sizerin cabaret
Sizerin flammé
Spatule blanche
Sterne arctique
Sterne caugek
Sterne pierregarin
Tadorne de Belon
Tarier des prés
Tarier pâtre
Tarin des aulnes
Torcol fourmilier
Tournepierre à collier
Tourterelle des bois
Traquet motteux
Traquet oreillard
Troglodyte mignon
Vanneau huppé
Verdier d'Europe
